ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
27,Zambia,,ZMB,894,B R,279029,142807,136222,244338,125329,119009,321167,163620,157547,252749,128553,124196,149637,75775,73862,127915,64512,63403
28,Zimbabwe,,ZWE,716,B R,626821,352028,274793,431226,246012,185214,410041,233843,176198,392693,223970,168723,397891,226967,170924,398866,227379,171487
30,Angola,,AGO,24,B R,33517,18142,15375,39813,20755,19058,46108,23367,22741,61329,30240,31089,76549,37113,39436,106845,51461,55384
31,Cameroon,,CMR,120,B,265344,145527,119817,246864,135079,111785,228383,124630,103753,258737,142397,116340,289091,160164,128927,381984,186605,195379
32,Central African Republic,,CAF,140,C,67234,35686,31548,99712,52975,46737,123529,65636,57893,94449,50236,44213,93466,49743,43723,81598,43163,38435
33,Chad,,TCD,148,B R,74342,40133,34209,89584,48298,41286,104825,56463,48362,352062,159715,192347,416924,186773,230151,516968,238140,278828
34,Congo,,COG,178,B,129597,64418,65179,191635,95822,95813,305002,152666,152336,315238,171420,143818,419649,228180,191469,392996,215274,177722
35,Democratic Republic of the Congo,,COD,180,B R,754194,363117,391077,1816963,901379,915584,744387,365092,379295,622869,302290,320579,588950,284244,304706,545694,264445,281249
36,Equatorial Guinea,,GNQ,226,C,2740,1465,1275,3629,1930,1699,4517,2394,2123,6588,3564,3024,8658,4734,3924,10825,5980,4845
37,Gabon,,GAB,266,C,127980,73053,54927,152972,87305,65667,195571,111616,83955,214123,122279,91844,243992,139458,104534,268384,153144,115240
38,Sao Tome and Principe,,STP,678,C,5582,2953,2629,4936,2548,2388,4365,2212,2153,3433,1727,1706,2700,1352,1348,2394,1197,1197
40,Algeria,,DZA,12,C R,273954,150234,123720,262032,143696,118336,250110,137158,112952,247537,135748,111789,244964,134339,110625,242391,132930,109461
41,Egypt,,EGY,818,B R,173708,91928,81780,166955,88545,78410,173452,92205,81247,274001,158277,115724,295714,166071,129643,491643,265054,226589
