ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
213,Honduras,,HND,340,B R,358286,153407,204879,525294,226231,299063,717917,310789,407128,936674,407115,529559,1218476,513181,705295,1407831,585874,821957
132,Hungary,,HUN,348,B R,994064,495137,498927,1051097,526766,524331,1110698,558081,552617,1296770,634069,662701,1536780,737809,798971,1665213,799889,865324
145,Iceland,,ISL,352,B,46580,22773,23807,57246,27789,29457,72092,35032,37060,80579,39667,40912,95181,47222,47959,109386,54570,54816
102,India,,IND,356,B R,19485597,11232730,8252867,20603510,11902160,8701350,22435187,13180471,9254716,26981844,16485285,10496559,37482951,24347646,13135305,43991804,28801254,15190550
89,Indonesia,,IDN,360,B R,4843610,2893216,1950394,5768757,3359761,2408996,6906806,3917353,2989453,8033490,4522418,3511072,10354151,5877881,4476270,11496790,6467149,5029641
103,Iran (Islamic Republic of),,IRN,364,B R,1647232,949254,697978,1925496,1083004,842492,2116855,1160854,956001,2270438,1253738,1016700,2578496,1391947,1186549,2860097,1543363,1316734
114,Iraq,,IRQ,368,C R,4450296,2527170,1923126,3827369,2186154,1641215,3301750,1899688,1402062,4207501,2293555,1913946,7431943,3955176,3476767,4112366,2239929,1872437
146,Ireland,,IRL,372,B,2445516,1103812,1341704,2276312,1015686,1260626,2264291,1003073,1261218,2129591,952074,1177517,2161328,981391,1179937,2466157,1118741,1347416
147,Isle of Man,,IMN,833,B,30743,14528,16215,25535,12335,13200,22101,10992,11109,25533,12600,12933,30885,15126,15759,32871,15855,17016
115,Israel,,ISR,376,B R,730761,359858,370903,743904,367457,376447,770055,382347,387708,799575,406371,393204,828758,426212,402546,858669,440974,417695
161,Italy,,ITA,380,B,9281356,4890674,4390682,8881363,4670508,4210855,8496740,4462835,4033905,7585630,4019869,3565761,7334715,3862952,3471763,7996689,4229972,3766717
197,Jamaica,,JAM,388,B,1332200,609835,722365,1569624,710286,859338,1858840,835093,1023747,1953837,867598,1086239,2113338,916370,1196968,2348544,1012058,1336486
83,Japan,,JPN,392,C,1516755,762343,754412,1603524,791911,811613,1730989,835592,895397,1773962,844733,929229,1866313,865391,1000922,2005533,919729,1085804
116,Jordan,,JOR,400,C R,887571,529868,357703,947288,573953,373335,1028792,630614,398178,1218748,764792,453956,1698564,1095848,602716,1992874,1270723,722151
73,Kazakhstan,,KAZ,398,B,8906683,4275990,4630693,9916247,4678442,5237805,10686118,4963854,5722264,11363298,5276743,6086555,11916849,5531567,6385282,12190449,5638311,6552138
14,Kenya,,KEN,404,B R,538357,269380,268977,595221,293746,301475,691926,338631,353295,776690,372968,403722,914219,431605,482614,1040668,489447,551221
250,Kiribati,,KIR,296,B,11303,5449,5854,11827,5715,6112,12101,5801,6300,12167,5877,6290,12837,6243,6594,14151,6882,7269
117,Kuwait,,KWT,414,C R,221630,123413,98217,255071,146936,108135,297084,175149,121935,333798,197685,136113,471461,293697,177764,507122,314339,192783
74,Kyrgyzstan,,KGZ,417,B,1565506,756832,808674,1654199,799948,854251,1701626,822733,878893,1974959,953084,1021875,2223108,1071835,1151273,2275027,1092360,1182667
90,Lao People's Democratic Republic,,LAO,418,C R,1260342,669647,590695,1412853,747050,665803,1711187,885655,825532,2455412,1207907,1247505,3353461,1612093,1741368,3818978,1958910,1860068
148,Latvia,,LVA,428,B,611277,285803,325474,653155,302410,350745,681436,312596,368840,786277,353728,432549,901695,396142,505553,980826,431332,549494
118,Lebanon,,LBN,422,B R,1357813,788665,569148,1411697,811616,600081,1475162,840920,634242,1643522,955798,687724,1913725,1137331,776394,2150123,1275961,874162
49,Lesotho,,LSO,426,C R,380593,290631,89962,270762,186787,83975,235244,131517,103727,282149,154514,127635,444807,242611,202196,720992,394496,326496
62,Liberia,,LBR,430,B,1039928,525444,514484,1104143,547118,557025,535109,266243,268866,737583,361686,375897,536433,261606,274827,571808,278739,293069
42,Libya,,LBY,434,C,204827,107285,97542,205602,108041,97561,210913,112272,98641,273497,144912,128585,355974,187351,168623,382357,199234,183123
175,Liechtenstein,,LIE,438,B,10326,4352,5974,9141,3948,5193,8078,3618,4460,8832,3923,4909,10287,4263,6024,11610,5067,6543
149,Lithuania,,LTU,440,B,986468,441746,544722,997513,439445,558068,1015992,441585,574407,1212941,526171,686770,1437508,620352,817156,1589198,695963,893235
176,Luxembourg,,LUX,442,B,80547,39767,40780,86403,42196,44207,93860,45393,48467,136429,65982,70447,169536,79630,89906,180158,84300,95858
15,Madagascar,,MDG,450,C,143225,60539,82686,156318,64614,91704,172982,70057,102925,378350,161376,216974,402533,156698,245835,434837,168522,266315
16,Malawi,,MWI,454,B R,158162,94461,63701,181679,108814,72865,239906,144452,95454,289703,171400,118303,361661,216254,145407,426609,264701,161908
91,Malaysia,-8,MYS,458,C R,1482244,815879,666365,2355159,1210920,1144239,3526734,1728960,1797774,4053054,2027874,2025180,4771114,2407769,2363345,5402716,2709073,2693643
104,Maldives,,MDV,462,C R,6354,4983,1371,4797,3523,1274,3531,2022,1509,5194,2451,2743,8131,3851,4280,8368,3796,4572
63,Mali,,MLI,466,B R,1346347,754491,591856,1631599,907082,724517,1501462,839508,661954,1571571,887084,684487,1786064,1017828,768236,2112303,1185568,926735
162,Malta,,MLT,470,B,310237,158537,151700,311039,157502,153537,295902,147608,148294,284054,140976,143078,278465,137589,140876,294122,144047,150075
251,Marshall Islands,,MHL,584,B,3156,1572,1584,8489,4260,4229,14174,7064,7110,13402,6685,6717,12740,6269,6471,14222,6948,7274
198,Martinique,,MTQ,474,B,32795,16660,16135,37482,18107,19375,42304,19650,22654,43415,20131,23284,44045,20388,23657,40219,18267,21952
64,Mauritania,,MRT,478,C R,281391,159045,122346,316995,180036,136959,227035,139515,87520,221558,138772,82786,257209,164222,92987,268751,168551,100200
17,Mauritius,-1,MUS,480,C,311291,144413,166878,319048,145557,173491,328730,147827,180903,358172,164001,194171,425654,195202,230452,467270,213233,254037
18,Mayotte,,MYT,175,B,1905,1024,881,4025,1996,2029,6324,3032,3292,6593,3203,3390,6507,3196,3311,6792,3326,3466
214,Mexico,,MEX,484,B R,8865721,4747965,4117756,13535136,7276287,6258849,18767716,10126132,8641584,21176518,11466222,9710296,23834080,12717229,11116851,24873229,13234314,11638915
252,Micronesia (Federated States of),,FSM,583,B,20399,10462,9937,31138,15825,15313,43169,21742,21427,47713,23966,23747,50650,25349,25301,52123,26029,26094
177,Monaco,,MCO,492,B,12768,6412,6356,13746,6828,6918,14711,7215,7496,56486,28258,28228,78946,38405,40541,85289,41328,43961
84,Mongolia,,MNG,496,C,72368,34834,37534,82237,38257,43980,91465,41382,50083,126283,58905,67378,174229,83187,91042,176527,81241,95286
163,Montenegro,,MNE,499,B,233440,117176,116264,430940,211839,219101,543384,264540,278844,449466,213065,236401,392976,181744,211232,413341,192920,220421
199,Montserrat,,MSR,500,B,17687,8410,9277,30310,13610,16700,43620,19114,24506,41870,18766,23104,42046,19182,22864,46469,21000,25469
43,Morocco,,MAR,504,C,4716732,2685355,2031377,5147294,2862752,2284542,5766941,3165460,2601481,7047242,3918514,3128728,8208646,4535020,3673626,8359707,4487144,3872563
19,Mozambique,,MOZ,508,B R,2769737,1550327,1219410,1305743,788307,517436,1054661,647400,407261,1103150,686678,416472,1218292,765370,452922,1344518,848851,495667
92,Myanmar,,MMR,104,C,1733056,1128500,604556,2404471,1483618,920853,3328935,1964331,1364604,5091491,3004494,2086997,7237280,4300586,2936694,8532901,4859739,3673162
50,Namibia,,NAM,516,B,29857,17437,12420,56410,29837,26573,99532,50164,49368,121651,60707,60944,190243,92574,97669,295364,144051,151313
253,Nauru,,NRU,520,C,3325,1455,1870,3549,1639,1910,4739,2273,2466,5683,2843,2840,6461,3325,3136,7150,3506,3644
105,Nepal,,NPL,524,B R,2240769,1174409,1066360,2557898,1364076,1193822,2899816,1566988,1332828,3341095,1883906,1457189,4076509,2410601,1665908,4802700,2956815,1845885
178,Netherlands,,NLD,528,B,1937998,972651,965347,1975973,993738,982235,2039142,1024745,1014397,2218650,1120245,1098405,2501466,1261198,1240268,2720266,1372186,1348080
244,New Caledonia,,NCL,540,B,10015,4766,5249,11229,5320,5909,14697,6746,7951,15850,7536,8314,17218,8563,8655,18844,9197,9647
241,New Zealand,,NZL,554,B,1127519,571911,555608,1225708,618578,607130,1433858,721628,712230,1628058,826069,801989,1948800,997034,951766,2359929,1202580,1157349
215,Nicaragua,,NIC,558,B R,1149697,574836,574861,1095565,544227,551338,1259834,616780,643054,1051414,504558,546856,1544083,723956,820127,1649414,763844,885570
65,Niger,,NER,562,B R,268724,171516,97208,335125,211632,123493,391784,240889,150895,522963,313992,208971,628322,374762,253560,724188,431608,292580
66,Nigeria,,NGA,566,C R,989498,566870,422628,1164279,666598,497681,1366964,782098,584866,1844738,998890,845848,2366015,1296503,1069512,2629019,1431077,1197942
260,Niue,,NIU,570,B,17073,8238,8835,15978,7606,8372,17283,8331,8952,15902,7772,8130,16036,7839,8197,16044,7806,8238
254,Northern Mariana Islands,,MNP,580,B,7535,3586,3949,7942,3820,4122,8304,4001,4303,8177,4036,4141,7829,3983,3846,7919,4043,3876
150,Norway,-16,NOR,578,B,358957,159150,199807,400236,179879,220357,450631,206040,244591,488682,229956,258726,515492,244672,270820,545189,258581,286608
119,Oman,,OMN,512,C,35783,18224,17559,39578,20392,19186,44605,23227,21378,51458,27061,24397,58745,30986,27759,59916,31284,28632
106,Pakistan,,PAK,586,B R,9889959,5827791,4062168,9782282,5834447,3947835,9859902,5961474,3898428,11293634,6961597,4332037,14593868,9491787,5102081,17284196,11148040,6136156
255,Palau,,PLW,585,B,8884,4111,4773,10106,4818,5288,12017,5578,6439,10276,4977,5299,7824,4050,3774,7656,3969,3687
216,Panama,,PAN,591,B,316959,157033,159926,294829,145921,148908,296409,146975,149434,281181,139168,142013,299429,146366,153063,317337,154452,162885
245,Papua New Guinea,,PNG,598,C R,8880,4454,4426,12131,6009,6122,13058,6490,6568,12502,6157,6345,12334,6077,6257,13244,6527,6717
227,Paraguay,,PRY,600,B,882346,390280,492066,992605,435440,557165,1106501,481657,624844,1607508,704291,903217,2255454,971467,1283987,2499008,1075664,1423344
228,Peru,,PER,604,B,777783,373827,403956,1272551,583785,688766,1778188,795941,982247,2582427,1160262,1422165,3504131,1529148,1974983,3756103,1655156,2100947
93,Philippines,,PHL,608,C R,5048087,2089937,2958150,6103374,2586277,3517097,7481400,3222324,4259076,9065907,4017275,5048632,11721087,5504737,6216350,13498159,6468477,7029682
133,Poland,,POL,616,B,4027706,1883672,2144034,4762467,2110898,2651569,5526510,2356520,3169990,8392569,3754114,4638455,11785232,5397232,6388000,12706589,5821212,6885377
164,Portugal,,PRT,620,B,5595212,2849758,2745454,5719511,2902917,2816594,5944809,3006225,2938584,5243158,2663902,2579256,5721300,2895466,2825834,6293833,3185981,3107852
200,Puerto Rico,,PRI,630,B,2421848,1159456,1262392,2744134,1242570,1501564,3149527,1352690,1796837,3215237,1390677,1824560,3320390,1405694,1914696,3560283,1744585,1815698
120,Qatar,,QAT,634,C,35053,17233,17820,37852,18852,19000,41727,21049,20678,50481,25888,24593,63575,32661,30914,73266,36309,36957
85,Republic of Korea,,KOR,410,C,4272503,2151953,2120550,4572069,2262108,2309961,4842411,2382664,2459747,4979214,2443552,2535662,5594838,2712917,2881921,5769636,2835731,2933905
134,Republic of Moldova,-13,MDA,498,B,1864136,865469,998667,1841077,887427,953650,1786744,888388,898356,2125288,1011697,1113591,2456621,1135535,1321086,2614326,1202448,1411878
20,Réunion,,REU,638,B,6039,2998,3041,5248,2433,2815,4881,2004,2877,5429,2106,3323,6207,2329,3878,6664,2408,4256
135,Romania,,ROU,642,B,2313516,1071475,1242041,2761643,1297662,1463981,3209514,1528050,1681464,6206646,2894582,3312064,9825161,4549711,5275450,9963498,4519140,5444358
136,Russian Federation,,RUS,643,B,37763961,16462244,21301717,34621638,14865034,19756604,32030369,13503421,18526948,31172272,13308039,17864233,30809835,13244999,17564836,31217714,13563461,17654253
21,Rwanda,,RWA,646,B R,590374,297774,292600,3224961,1599176,1625785,447732,222696,225036,419710,207436,212274,522711,253634,269077,498983,245172,253811
67,Saint Helena,-4,SHN,654,B,2408,1115,1293,6972,2822,4150,12039,4748,7291,10495,4304,6191,10048,4366,5682,11632,4903,6729
201,Saint Kitts and Nevis,,KNA,659,B,53171,24623,28548,65944,30531,35413,79827,36961,42866,85199,39064,46135,90345,40946,49399,97859,44095,53764
202,Saint Lucia,,LCA,662,B,57314,26346,30968,78598,35519,43079,101081,45181,55900,119303,52203,67100,127883,54290,73593,139238,58657,80581
